# U, t, Lx, β, δ, m, Q, ΔT [calculated @ 2025-08-06T11:11:03.857]
7.0,0.14285714285714285,32.0,Inf,0.1,0.37818908675651325,0.6880312286405843,0.038158433
7.0,0.14285714285714285,32.0,Inf,0.2,0.21423908194603866,0.7526640018851172,0.087067266
7.0,0.14285714285714285,32.0,Inf,0.3,0.0002740075976916777,0.9168635066386692,0.162452597
7.5,0.13333333333333333,32.0,Inf,0.0,0.4401271961677203,0.517338372101328,0.035323342
7.5,0.13333333333333333,32.0,Inf,0.1,0.38687717312514247,0.3079205617667613,0.254499503
7.5,0.13333333333333333,32.0,Inf,0.2,0.2308640606305186,0.6083269058645979,0.644449925
7.5,0.13333333333333333,32.0,Inf,0.3,0.00038036834579365745,0.8151461279223279,0.193177574
8.0,0.125,32.0,Inf,0.0,0.44638171181868025,0.3368240696216551,0.036482033
8.0,0.125,32.0,Inf,0.1,0.3943226217798335,0.4515262986160007,0.03218196
8.0,0.125,32.0,Inf,0.2,0.2545647060054014,0.8762847547688635,0.708807312
8.0,0.125,32.0,Inf,0.3,0.0005787269070022806,0.971039580446388,0.25776347
8.5,0.11764705882352941,32.0,Inf,0.0,0.4517426961212057,0.22153543489000782,0.037924992
8.5,0.11764705882352941,32.0,Inf,0.1,0.40066452991018875,0.2618299013606995,0.04102864
8.5,0.11764705882352941,32.0,Inf,0.2,0.262598453051279,0.4323574809228514,0.053441276
8.5,0.11764705882352941,32.0,Inf,0.3,0.0009547572226075885,0.9461813062933252,0.382171806
9.0,0.1111111111111111,32.0,Inf,0.0,0.45636612925858355,0.14723660891002854,0.037666434
9.0,0.1111111111111111,32.0,Inf,0.1,0.40615187980296524,0.20333764963298417,0.086964788
9.0,0.1111111111111111,32.0,Inf,0.2,0.2721515613791328,0.5531240356443368,0.063060812
9.0,0.1111111111111111,32.0,Inf,0.3,0.004871390654828636,0.592041883300011,0.548003913
9.5,0.10526315789473684,32.0,Inf,0.0,0.46038662361792165,0.7397351479643266,0.035071848
9.5,0.10526315789473684,32.0,Inf,0.1,0.410910746743162,0.20388400795767758,0.044555258
9.5,0.10526315789473684,32.0,Inf,0.2,0.280340700973051,0.7519926872490146,0.39271104
9.5,0.10526315789473684,32.0,Inf,0.3,0.04404788330183094,1.2454669826422737,0.756378566
10.0,0.1,32.0,Inf,0.0,0.463881582659076,0.54319540676806,0.032918877
10.0,0.1,32.0,Inf,0.1,0.4150617742157179,0.21400150967965104,0.039153943
10.0,0.1,32.0,Inf,0.2,0.2901955155870936,0.5443758463019588,0.115436561
10.0,0.1,32.0,Inf,0.3,0.09534757170711716,0.09800404528331752,0.075214427
