t;U;V;Lx;β;δ;v;Q;ΔT;I;μ;g0;g;fMFT
1.0;4.5;1.2;30;100.0;0.1;Dict("ΔS" => 3.970806974538125e-5, "Δs" => 0.0005141793338125479, "gS" => 0.3954926466975953);Dict("ΔS" => 3.970806974538125e-5, "Δs" => 0.0005141793338125479, "gS" => 0.3954926466975953);0.294740387;5;0.305238514256589;0.2;0.2;-1.58228174177936
1.0;4.5;1.4;30;100.0;0.1;Dict("ΔS" => -5.474230887452669e-5, "Δs" => -0.0005781212844461698, "gS" => 0.3954890353386303);Dict("ΔS" => -5.474230887452669e-5, "Δs" => -0.0005781212844461698, "gS" => 0.3954890353386303);0.482617672;5;0.289554937240062;0.2;0.2;-1.58227790046811
1.0;4.5;1.6;30;100.0;0.1;Dict("ΔS" => -6.002441433939523e-5, "Δs" => -0.0006306878927872972, "gS" => 0.3954849463624);Dict("ΔS" => -6.002441433939523e-5, "Δs" => -0.0006306878927872972, "gS" => 0.3954849463624);0.342595846;6;0.273887125177665;0.2;0.2;-1.58227291834389
1.0;4.5;1.8;30;100.0;0.1;Dict("ΔS" => 9.843293811955217e-5, "Δs" => 0.0007968921967355315, "gS" => 0.3954802621888513);Dict("ΔS" => 9.843293811955217e-5, "Δs" => 0.0007968921967355315, "gS" => 0.3954802621888513);0.399486529;7;0.258236832558832;0.2;0.2;-1.58226619126526
1.0;4.5;2.0;30;100.0;0.1;Dict("ΔS" => -7.122161704616774e-5, "Δs" => -0.0007155093605282708, "gS" => 0.3954748335080699);Dict("ΔS" => -7.122161704616774e-5, "Δs" => -0.0007155093605282708, "gS" => 0.3954748335080699);0.612005045;11;0.242606128182596;0.2;0.2;-1.58225818457
1.0;5.0;1.0;30;100.0;0.1;Dict("ΔS" => -5.749728986246349e-5, "Δs" => -0.0008179908329121992, "gS" => 0.39549586754571664);Dict("ΔS" => -5.749728986246349e-5, "Δs" => -0.0008179908329121992, "gS" => 0.39549586754571664);0.574675944;6;0.320937718230699;0.2;0.2;-1.58228396704405
1.0;5.0;1.2;30;100.0;0.1;Dict("ΔS" => -5.199862610620466e-5, "Δs" => -0.0007419687284549525, "gS" => 0.39549264546091456);Dict("ΔS" => -5.199862610620466e-5, "Δs" => -0.0007419687284549525, "gS" => 0.39549264546091456);0.465983264;8;0.305238687799882;0.2;0.2;-1.58228130462204
1.0;5.0;1.4;30;100.0;0.1;Dict("ΔS" => -5.259702699496468e-5, "Δs" => -0.0007091952214202277, "gS" => 0.3954890348612873);Dict("ΔS" => -5.259702699496468e-5, "Δs" => -0.0007091952214202277, "gS" => 0.3954890348612873);0.610535013;10;0.28955522339242;0.2;0.2;-1.58227763122305
1.0;5.0;1.6;30;100.0;0.1;Dict("ΔS" => 8.367183992058384e-5, "Δs" => 0.0008190400133763903, "gS" => 0.3954849454340236);Dict("ΔS" => 8.367183992058384e-5, "Δs" => 0.0008190400133763903, "gS" => 0.3954849454340236);0.939442858;13;0.273887472626996;0.2;0.2;-1.58227247566651
1.0;5.0;1.8;30;100.0;0.1;Dict("ΔS" => 9.236597250778592e-5, "Δs" => 0.0008673662576735003, "gS" => 0.3954802625046259);Dict("ΔS" => 9.236597250778592e-5, "Δs" => 0.0008673662576735003, "gS" => 0.3954802625046259);1.467836148;24;0.258237251730272;0.2;0.2;-1.58226598908586
1.0;5.0;2.0;30;100.0;0.1;Dict("ΔS" => 0.9310155733003499, "Δs" => 0.08455871793678078, "gS" => 0.32439890635523777);Dict("ΔS" => 0.9280634636821272, "Δs" => 0.035272780103068335, "gS" => 0.15837802818818858);8.145215312;110;0.2514304933930865;0.2;0.15000000000000002;-1.2973816397991316
1.0;5.5;1.0;30;100.0;0.1;Dict("ΔS" => -3.907254532762865e-5, "Δs" => -0.0008478763010192558, "gS" => 0.39549586768338524);Dict("ΔS" => -3.907254532762865e-5, "Δs" => -0.0008478763010192558, "gS" => 0.39549586768338524);0.840419278;13;0.320936558690888;0.2;0.2;-1.58228388630512
