t;U;V;Lx;β;δ;v;Q;ΔT;I;μ;g0;g;fMFT
1;4.5;1.2;30;100;0.1;"Dict(""ΔS"" => 3.970806974538125e-5, ""Δs"" => 0.0005141793338125479, ""gS"" => 0.3954926466975953)";"Dict(""ΔS"" => 0.045269683792726244, ""Δs"" => 0.5885763409855177, ""gS"" => 0.0012964500319401218)";0.294740387;5;0.305238514256589;0.2;0.2;-1.58228174177936
1;4.5;1.4;30;100;0.1;"Dict(""ΔS"" => -5.474230887452669e-5, ""Δs"" => -0.0005781212844461698, ""gS"" => 0.3954890353386303)";"Dict(""ΔS"" => 0.057043083995474905, ""Δs"" => 0.6582510656464617, ""gS"" => 0.0014621748422594116)";0.482617672;5;0.289554937240062;0.2;0.2;-1.58227790046811
1;4.5;1.6;30;100;0.1;"Dict(""ΔS"" => -6.002441433939523e-5, ""Δs"" => -0.0006306878927872972, ""gS"" => 0.3954849463624)";"Dict(""ΔS"" => 0.07062640405210677, ""Δs"" => 0.7161608396346137, ""gS"" => 0.0013174387827330492)";0.342595846;6;0.273887125177665;0.2;0.2;-1.58227291834389
1;4.5;1.8;30;100;0.1;"Dict(""ΔS"" => 9.843293811955217e-5, ""Δs"" => 0.0007968921967355315, ""gS"" => 0.3954802621888513)";"Dict(""ΔS"" => 0.09924139777546775, ""Δs"" => 0.8987915124943732, ""gS"" => 0.0011987164953430884)";0.399486529;7;0.258236832558832;0.2;0.2;-1.58226619126526
1;4.5;2;30;100;0.1;"Dict(""ΔS"" => -7.122161704616774e-5, ""Δs"" => -0.0007155093605282708, ""gS"" => 0.3954748335080699)";"Dict(""ΔS"" => 0.09138586147145038, ""Δs"" => 0.8062375345395596, ""gS"" => 0.0005484038148595438)";0.612005045;11;0.242606128182596;0.2;0.2;-1.58225818457
1;5;1;30;100;0.1;"Dict(""ΔS"" => -5.749728986246349e-5, ""Δs"" => -0.0008179908329121992, ""gS"" => 0.39549586754571664)";"Dict(""ΔS"" => 0.046528299549931734, ""Δs"" => 0.9251457741532966, ""gS"" => 0.006918959753465792)";0.574675944;6;0.320937718230699;0.2;0.2;-1.58228396704405
1;5;1.2;30;100;0.1;"Dict(""ΔS"" => -5.199862610620466e-5, ""Δs"" => -0.0007419687284549525, ""gS"" => 0.39549264546091456)";"Dict(""ΔS"" => 0.058558280134201356, ""Δs"" => 0.8384845555448621, ""gS"" => 0.0006440056193879329)";0.465983264;8;0.305238687799882;0.2;0.2;-1.58228130462204
1;5;1.4;30;100;0.1;"Dict(""ΔS"" => -5.259702699496468e-5, ""Δs"" => -0.0007091952214202277, ""gS"" => 0.3954890348612873)";"Dict(""ΔS"" => 0.06498689806703503, ""Δs"" => 0.7992118095576382, ""gS"" => 0.00045963256944947517)";0.610535013;10;0.28955522339242;0.2;0.2;-1.58227763122305
1;5;1.6;30;100;0.1;"Dict(""ΔS"" => 8.367183992058384e-5, ""Δs"" => 0.0008190400133763903, ""gS"" => 0.3954849454340236)";"Dict(""ΔS"" => 0.0820170543088826, ""Δs"" => 0.9167399142274699, ""gS"" => 0.0002597442078089429)";0.939442858;13;0.273887472626996;0.2;0.2;-1.58227247566651
1;5;1.8;30;100;0.1;"Dict(""ΔS"" => 9.236597250778592e-5, ""Δs"" => 0.0008673662576735003, ""gS"" => 0.3954802625046259)";"Dict(""ΔS"" => 0.09669043516073506, ""Δs"" => 0.9677367295111469, ""gS"" => 1.5762611993430653e-5)";1.467836148;24;0.258237251730272;0.2;0.2;-1.58226598908586
1;5;2;30;100;0.1;"Dict(""ΔS"" => NaN, ""Δs"" => NaN, ""gS"" => NaN)";"Dict(""ΔS"" => 0.38433515189604694, ""Δs"" => 1.780212473561369, ""gS"" => 0.00015025431915338672)";6.647184054;100;0.242606777140759;0.2;0.2;NaN
1;5.5;1;30;100;0.1;"Dict(""ΔS"" => -3.907254532762865e-5, ""Δs"" => -0.0008478763010192558, ""gS"" => 0.39549586768338524)";"Dict(""ΔS"" => 0.0582003471573688, ""Δs"" => 0.9535197595810121, ""gS"" => 0.0010947650422310495)";0.840419278;13;0.320936558690888;0.2;0.2;-1.58228388630512
1;5.5;1.2;30;100;0.1;"Dict(""ΔS"" => -5.019318889459782e-5, ""Δs"" => -0.000823764560707836, ""gS"" => 0.3954926454245401)";"Dict(""ΔS"" => 0.06035215900810316, ""Δs"" => 0.9217378083397517, ""gS"" => 3.370265089230884e-5)";1.306166948;20;0.305238834253402;0.2;0.2;-1.58228110706643
1;5.5;1.4;30;100;0.1;"Dict(""ΔS"" => 6.609648489256182e-5, ""Δs"" => 0.000879331833859827, ""gS"" => 0.39548903413141223)";"Dict(""ΔS"" => 0.07150784874089083, ""Δs"" => 0.9794517211276804, ""gS"" => 3.007861348880425e-6)";3.031020213;43;0.289555361799221;0.2;0.2;-1.58227720540361
1;5.5;1.6;30;100;0.1;"Dict(""ΔS"" => NaN, ""Δs"" => NaN, ""gS"" => NaN)";"Dict(""ΔS"" => 2.71320341196544, ""Δs"" => 32.970232096046054, ""gS"" => 0.00039635148518790686)";5.889350174;100;0.273943644230459;0.2;0.2;NaN
1;5.5;1.8;30;100;0.1;"Dict(""ΔS"" => NaN, ""Δs"" => NaN, ""gS"" => NaN)";"Dict(""ΔS"" => 11.468104784778422, ""Δs"" => 128.58145932278728, ""gS"" => 9.719038007727221e-5)";7.408618543;100;0.259128590063164;0.2;0.2;NaN
1;5.5;2;30;100;0.1;"Dict(""ΔS"" => NaN, ""Δs"" => NaN, ""gS"" => NaN)";"Dict(""ΔS"" => 7.550810640423469, ""Δs"" => 181.14120172257847, ""gS"" => 0.05201222061818056)";5.988629552;100;0.244905991091883;0.2;0.2;NaN
1;6;1;30;100;0.1;"Dict(""ΔS"" => NaN, ""Δs"" => NaN, ""gS"" => NaN)";"Dict(""ΔS"" => 0.13701070398957274, ""Δs"" => 2.741318211871191, ""gS"" => 3.04119734950703e-6)";6.34484791;100;0.320936643247056;0.2;0.2;NaN
1;6;1.2;30;100;0.1;"Dict(""ΔS"" => NaN, ""Δs"" => NaN, ""gS"" => NaN)";"Dict(""ΔS"" => 5.4400708690294906, ""Δs"" => 92.802848622267, ""gS"" => 0.0002358523724099726)";5.993193582;100;0.305651757542392;0.2;0.2;NaN
1;6;1.4;30;100;0.1;"Dict(""ΔS"" => NaN, ""Δs"" => NaN, ""gS"" => NaN)";"Dict(""ΔS"" => 9.799937666689607, ""Δs"" => 147.16092635805126, ""gS"" => 1.360798140837005e-7)";6.906265676;100;0.290626295331853;0.2;0.2;NaN
1;6;1.6;30;100;0.1;"Dict(""ΔS"" => NaN, ""Δs"" => NaN, ""gS"" => NaN)";"Dict(""ΔS"" => 14.356536481779688, ""Δs"" => 194.1075141050927, ""gS"" => 1.2910261748544372e-7)";6.231645631;100;0.275796013696345;0.2;0.2;NaN
1;6;1.8;30;100;0.1;"Dict(""ΔS"" => NaN, ""Δs"" => NaN, ""gS"" => NaN)";"Dict(""ΔS"" => 19.4038115752584, ""Δs"" => 240.78906387060275, ""gS"" => 5.042517831066462e-5)";6.911604382;100;0.261219018514882;0.2;0.2;NaN
1;6;2;30;100;0.1;"Dict(""ΔS"" => NaN, ""Δs"" => NaN, ""gS"" => NaN)";"Dict(""ΔS"" => 19.503723993756285, ""Δs"" => 289.41414928968055, ""gS"" => 0.01886484651830722)";8.378730825;100;0.247416909775907;0.2;0.2;NaN
