# U, t, Lx, β, δ, m, Q, ΔT [calculated @ 2025-08-07T11:47:41.273]
0.5,2.0,64.0,Inf,0.0,0.02797409692314936,0.8872960410582359,0.555167114
0.5,2.0,64.0,Inf,0.05,4.2779368879087206e-5,0.8370848894023081,0.514804497
0.5,2.0,64.0,Inf,0.1,1.564703208022458e-5,0.7071873687787035,0.402650568
0.5,2.0,64.0,Inf,0.15,1.2760511375004812e-5,0.9262557044988816,0.336211524
0.5,2.0,64.0,Inf,0.2,9.034506449396558e-6,0.9701513311926686,0.31422355
0.5,2.0,64.0,Inf,0.25,4.066179691998109e-6,0.6216247030308558,0.299913681
0.5,2.0,64.0,Inf,0.3,3.590669939255505e-6,0.7826252471928031,0.293938578
0.5,2.0,64.0,Inf,0.35,3.071434134585983e-6,0.9855338102309873,0.290045035
0.5,2.0,64.0,Inf,0.4,1.1843733779332718e-6,0.5925704552016423,0.283442684
0.5,2.0,64.0,Inf,0.45,5.904407679188421e-7,0.5378905582989976,0.239432551
0.5,2.0,64.0,Inf,0.5,0.0,0.0,0.021500444
0.5,2.0,128.0,0.1,0.0,2.067469528357355e-6,0.8172276400625791,1.341196684
0.5,2.0,128.0,0.1,0.05,1.8421061266745365e-6,0.7338911879389877,1.282576329
0.5,2.0,128.0,0.1,0.1,1.5776087957317219e-6,0.647134367043868,1.250744583
0.5,2.0,128.0,0.1,0.15,1.2921541904418394e-6,0.558466024983247,1.280696892
0.5,2.0,128.0,0.1,0.2,1.9666517219658524e-6,0.9195382940124492,1.208027355
0.5,2.0,128.0,0.1,0.25,1.4331051945823043e-6,0.7487154511120354,1.231771644
0.5,2.0,128.0,0.1,0.3,9.556878546052351e-7,0.5822229099305067,1.264350267
0.5,2.0,128.0,0.1,0.35,1.1028348074345444e-6,0.8337162170843821,1.242401315
0.5,2.0,128.0,0.1,0.4,5.154600819460252e-7,0.5367200009406328,1.268847321
0.5,2.0,128.0,0.1,0.45,2.8569176184577473e-7,0.5131424313551245,1.205457947
0.5,2.0,128.0,0.1,0.5,0.0,0.0,0.106716163
0.5,2.0,128.0,1.0,0.0,1.277643078791573e-5,0.6767077910086732,1.562983801
0.5,2.0,128.0,1.0,0.05,1.0561478543806487e-5,0.5775680556392611,1.672985317
0.5,2.0,128.0,1.0,0.1,1.2215909815718568e-5,0.7493209318457912,1.689765838
0.5,2.0,128.0,1.0,0.15,1.2169607597140915e-5,0.9036838342138992,1.348817059
0.5,2.0,128.0,1.0,0.2,6.08761957058592e-6,0.5848899130144481,1.350644334
0.5,2.0,128.0,1.0,0.25,5.240054067319292e-6,0.6889166660685736,1.240360344
0.5,2.0,128.0,1.0,0.3,4.420800844877048e-6,0.835257033863124,1.169963947
0.5,2.0,128.0,1.0,0.35,1.8401489076620181e-6,0.5269423278280835,1.200677168
0.5,2.0,128.0,1.0,0.4,1.26876692174968e-6,0.5992469760833836,1.107200365
0.5,2.0,128.0,1.0,0.45,5.634384764734207e-7,0.5358960175158346,1.027316829
0.5,2.0,128.0,1.0,0.5,0.0,0.0,0.076251024
0.5,2.0,128.0,10.0,0.0,5.514662834036392e-5,0.7249787086110182,2.342181035
0.5,2.0,128.0,10.0,0.05,3.3047966609847906e-5,0.7748360681962964,1.921490798
0.5,2.0,128.0,10.0,0.1,1.9733623851673522e-5,0.998738485471964,1.573063762
0.5,2.0,128.0,10.0,0.15,1.021885298899241e-5,0.8227299469276474,1.358506894
0.5,2.0,128.0,10.0,0.2,7.661026763839271e-6,0.9002159844420652,1.284442866
0.5,2.0,128.0,10.0,0.25,3.510950253256374e-6,0.5874945132475407,1.235969152
0.5,2.0,128.0,10.0,0.3,3.131331711970511e-6,0.7507577776484652,1.165240632
0.5,2.0,128.0,10.0,0.35,2.690774890095351e-6,0.9582172820221717,1.103534182
0.5,2.0,128.0,10.0,0.4,1.0049083979702e-6,0.5782321928798214,1.100600811
0.5,2.0,128.0,10.0,0.45,4.6059943773909035e-7,0.527616490629676,0.995188445
0.5,2.0,128.0,10.0,0.5,0.0,0.0,0.076436208
0.5,2.0,128.0,50.0,0.0,0.00020313377532975998,0.8690950337437674,3.5366365
0.5,2.0,128.0,50.0,0.05,3.543877831569683e-5,0.930565714381543,1.814140087
0.5,2.0,128.0,50.0,0.1,1.840033930357036e-5,0.9569649290075263,1.548571716
0.5,2.0,128.0,50.0,0.15,1.0037040077281753e-5,0.8149574380637744,1.401010484
0.5,2.0,128.0,50.0,0.2,7.6038582106557144e-6,0.897243730620689,1.299864679
0.5,2.0,128.0,50.0,0.25,3.496136565051585e-6,0.5865661654229494,1.284711217
0.5,2.0,128.0,50.0,0.3,3.1227047175443714e-6,0.7501630624092052,1.243018836
0.5,2.0,128.0,50.0,0.35,2.6854067628423407e-6,0.957826175387565,1.201179165
0.5,2.0,128.0,50.0,0.4,1.0030723399582057e-6,0.5780829255107536,1.115321444
0.5,2.0,128.0,50.0,0.45,4.596624270995715e-7,0.527540297702093,1.065800903
0.5,2.0,128.0,50.0,0.5,0.0,0.0,0.07442587
0.5,2.0,128.0,Inf,0.0,0.018283902992258558,0.8261135416719536,2.516211274
0.5,2.0,128.0,Inf,0.05,3.458000957740977e-5,0.9162191453787194,1.766197446
0.5,2.0,128.0,Inf,0.1,1.8276068273905405e-5,0.9528681150341155,1.579645266
0.5,2.0,128.0,Inf,0.15,1.0012861016094841e-5,0.8137908698703973,1.248109894
0.5,2.0,128.0,Inf,0.2,7.5908450959670186e-6,0.8975021387959619,1.256505253
0.5,2.0,128.0,Inf,0.25,3.498181313566627e-6,0.5867260338933357,1.186602582
0.5,2.0,128.0,Inf,0.3,3.116013583567086e-6,0.7498975093679433,1.224795843
0.5,2.0,128.0,Inf,0.35,2.6843368253882565e-6,0.9578097463321815,1.089351202
0.5,2.0,128.0,Inf,0.4,9.975570607739694e-7,0.5778104338955349,1.071238488
0.5,2.0,128.0,Inf,0.45,4.5847209005755267e-7,0.5274798886586787,1.043742061
0.5,2.0,128.0,Inf,0.5,0.0,0.0,0.068600636
1.0,1.0,32.0,0.1,0.0,2.0862986940034393e-6,0.8188569328568202,0.089217511
1.0,1.0,32.0,0.1,0.05,1.8806444934894768e-6,0.7372292032582584,0.088429935
1.0,1.0,32.0,0.1,0.1,1.6346954947915175e-6,0.6521109839837539,0.082975359
1.0,1.0,32.0,0.1,0.15,1.3643057815033393e-6,0.5648320988401893,0.090893974
1.0,1.0,32.0,0.1,0.2,2.123986327726097e-6,0.9327053044574163,0.076924498
1.0,1.0,32.0,0.1,0.25,1.596041430234015e-6,0.7626612901397907,0.087252945
1.0,1.0,32.0,0.1,0.3,1.109692672787532e-6,0.5957828589079571,0.080954141
1.0,1.0,32.0,0.1,0.35,1.3575349814504285e-6,0.8550710966614065,0.079237161
1.0,1.0,32.0,0.1,0.4,7.016087432300052e-7,0.5529416538515851,0.087832884
1.0,1.0,32.0,0.1,0.45,4.802192927210637e-7,0.529208798219043,0.074106536
1.0,1.0,32.0,0.1,0.5,0.0,0.0,0.004637397
1.0,1.0,32.0,1.0,0.0,1.757825506146892e-5,0.6935570390136779,0.121875363
1.0,1.0,32.0,1.0,0.05,1.5962380055741236e-5,0.6281479033236725,0.11193035
1.0,1.0,32.0,1.0,0.1,2.118217221370111e-5,0.8649837418706923,0.10899069
1.0,1.0,32.0,1.0,0.15,1.4854400428336457e-5,0.6551014297520857,0.122603024
1.0,1.0,32.0,1.0,0.2,1.569636334687389e-5,0.7787087102455834,0.094284412
1.0,1.0,32.0,1.0,0.25,1.5147195201543612e-5,0.8822111104816714,0.087611629
1.0,1.0,32.0,1.0,0.3,1.3417234040410579e-5,0.9613349229707686,0.086036548
1.0,1.0,32.0,1.0,0.35,5.909976718584989e-6,0.5504554447039736,0.08048529
1.0,1.0,32.0,1.0,0.4,7.424685943227689e-6,0.9671635927521245,0.070556816
1.0,1.0,32.0,1.0,0.45,3.586330282923791e-6,0.7339882587557279,0.06242971
1.0,1.0,32.0,1.0,0.5,0.0,0.0,0.003725525
1.0,1.0,32.0,10.0,0.0,0.0001543493006998473,0.8311732453323951,0.235685916
1.0,1.0,32.0,10.0,0.05,0.00019255913164795073,0.9849050332117303,0.236310175
1.0,1.0,32.0,10.0,0.1,8.567490384771891e-5,0.806755860078042,0.182060777
1.0,1.0,32.0,10.0,0.15,4.8774793548278904e-5,0.9780560441835054,0.124940487
1.0,1.0,32.0,10.0,0.2,2.322253975717255e-5,0.8326685938851777,0.107802707
1.0,1.0,32.0,10.0,0.25,1.7083026186353757e-5,0.9459510006469737,0.085275034
1.0,1.0,32.0,10.0,0.3,1.0296961969859347e-5,0.8380694812648073,0.080101099
1.0,1.0,32.0,10.0,0.35,6.918137144891082e-6,0.8256604892753139,0.077548147
1.0,1.0,32.0,10.0,0.4,4.479039128232098e-6,0.8109907408952475,0.067451569
1.0,1.0,32.0,10.0,0.45,2.162503330370384e-6,0.6490242101869043,0.065470408
1.0,1.0,32.0,10.0,0.5,0.0,0.0,0.003540427
1.0,1.0,32.0,50.0,0.0,0.039508053498779075,0.997190645778967,0.218621332
1.0,1.0,32.0,50.0,0.05,0.04866775231104706,0.958470511538273,0.200207597
1.0,1.0,32.0,50.0,0.1,9.579928780240355e-5,0.9412588500213835,0.172206926
1.0,1.0,32.0,50.0,0.15,3.43453475393989e-5,0.7603298409978109,0.127952072
1.0,1.0,32.0,50.0,0.2,2.0491074111642554e-5,0.7663040630091396,0.111349828
1.0,1.0,32.0,50.0,0.25,1.6292059870062137e-5,0.9200772794302944,0.08575183
1.0,1.0,32.0,50.0,0.3,1.0061744304290192e-5,0.8283115185492189,0.081383584
1.0,1.0,32.0,50.0,0.35,6.83120299685905e-6,0.8213188120638594,0.083265611
1.0,1.0,32.0,50.0,0.4,4.437322880338212e-6,0.808586254662538,0.073536201
1.0,1.0,32.0,50.0,0.45,2.1479664881833488e-6,0.6480957977941347,0.06490289
1.0,1.0,32.0,50.0,0.5,0.0,0.0,0.003592974
1.0,1.0,32.0,Inf,0.0,0.07563468993837714,0.7689959752975317,0.174148289
1.0,1.0,32.0,Inf,0.05,0.07565236300809049,0.9295428380283466,0.168627369
1.0,1.0,32.0,Inf,0.1,7.494331142088331e-5,0.7856582968686947,0.158317378
1.0,1.0,32.0,Inf,0.15,3.1895823345872457e-5,0.7221432673250558,0.124718993
