x;y;zs;zS
-0.5;5.0;-4.420465134434931;7.445539764778672
0.0;-5.0;4.478316306332948;-7.540950969848861
0.0;-4.5;4.377945213709751;-7.372678790047029
0.0;-4.0;4.248314656858573;-7.155276735486669
0.0;-3.5;4.078349003694672;-6.870103211192928
0.0;-3.0;3.85230428420504;-6.4906275139523615
0.0;-2.5;3.548262928531077;-5.979858215908984
0.0;-2.0;3.1373917364228134;-5.289031682658797
0.0;-1.5;2.586530162923151;-4.36190191041761
0.0;-1.0;1.8690420234910798;-3.15303949736131
0.0;-0.5;0.9877917891503513;-1.666843219805287
0.0;0.0;0.0;0.0
0.0;0.5;-0.9877917891503513;1.666843219805287
0.0;1.0;-1.8690420234910798;3.15303949736131
0.0;1.5;-2.586530162923151;4.36190191041761
0.0;2.0;-3.1373917364228134;5.289031682658797
0.0;2.5;-3.548262928531077;5.979858215908984
0.0;3.0;-3.85230428420504;6.4906275139523615
0.0;3.5;-4.078349003694672;6.870103211192928
0.0;4.0;-4.248314656858573;7.155276735486669
0.0;4.5;-4.377945213709751;7.372678790047029
0.0;5.0;-4.478316306332948;7.540950969848861
0.5;-5.0;4.420465134434931;-7.445539764778672
0.5;-4.5;4.303492752671921;-7.249851758532378
0.5;-4.0;4.151047991630636;-6.99474967745642
0.5;-3.5;3.949431366897108;-6.657229445224591
0.5;-3.0;3.679368060882986;-6.204871078725471
0.5;-2.5;3.3147889629421834;-5.593719434677667
0.5;-2.0;2.8236468931934944;-4.769532341208897
0.5;-1.5;2.174760721245732;-3.6791483119896924
0.5;-1.0;1.355882685475481;-2.3009232096499126
0.5;-0.5;0.4004461949706059;-0.6903191291928137
0.5;0.0;-0.6012563891631428;1.000337144448023
0.5;0.5;-1.5354036889609084;2.5778870382487136
0.5;1.0;-2.32148843552909;3.905270792448712
0.5;1.5;-2.936864851882733;4.943801867250782
0.5;2.0;-3.399684418027908;5.724247554905136
0.5;2.5;-3.7425041423647394;6.301851791441628
0.5;3.0;-3.996576354075454;6.72959126237129
0.5;3.5;-4.186627438754076;7.049326414527497
0.5;4.0;-4.330711294857597;7.291583153005208
